date,No. of days,txVolume,txCount,marketcap,exchangeVolume,generatedCoins,fees,Bitcoin Google Trends,Price,GDPC1
4/28/2013,1,112372696.7,47031,1500520000,0,3750,41.6769215,6,134,172
4/29/2013,2,79509642.98,40035,1491160000,0,4200,31.67685839,6,145,172
4/30/2013,3,113413369.1,52266,1597780000,0,4750,37.52034795,6,139,172
5/1/2013,4,65884009.96,46802,1542820000,0,3600,53.99561215,6,117,172
5/2/2013,5,82245200.43,52443,1292190000,0,3575,36.80599998,6,105,172
5/3/2013,6,81437491.26,55169,1180070000,0,3425,54.40791613,6,98,172
5/4/2013,7,89427914.81,55636,1089890000,0,3650,48.52677208,6,113,172
5/5/2013,8,49088469.31,48595,1254760000,0,3900,43.41969441,5,116,172
5/6/2013,9,55907226.65,49907,1289470000,0,3875,38.40895622,5,112,172
5/7/2013,10,75872779.95,52523,1248470000,0,4250,51.88924363,5,112,172
5/8/2013,11,103510706,55899,1219450000,0,4150,43.22493927,5,114,172
5/9/2013,12,78666541.7,47555,1259980000,0,4125,49.5171688,5,113,172
5/10/2013,13,67742873.57,66750,1255970000,0,4100,68.83358453,5,117,172
5/11/2013,14,80930005.85,68957,1311050000,0,4250,61.03773973,5,115,172
5/12/2013,15,70109590.48,71712,1288630000,0,4475,64.7144603,5,115,172
5/13/2013,16,56244308.77,67439,1279980000,0,4375,57.98717092,5,118,172
5/14/2013,17,63639029.54,60443,1315720000,0,4375,58.6645122,5,112,172
5/15/2013,18,76669586.72,65458,1242760000,0,3850,56.3462306,5,114,172
5/16/2013,19,78731512.51,65045,1274620000,0,3575,48.99999252,5,119,172
5/17/2013,20,77122630.1,61462,1319590000,0,3650,58.40010175,5,123,172
5/18/2013,21,81403371.81,60388,1379140000,0,4050,88.12669735,5,124,172
5/19/2013,22,72939392.69,48290,1376370000,0,3425,37.08573213,4,122,172
5/20/2013,23,53520927.35,50416,1368910000,0,4150,44.69975431,4,122,172
5/21/2013,24,54074450.14,49435,1363940000,0,3375,48.79896181,4,123,172
5/22/2013,25,74014574.29,53176,1374130000,0,3550,45.73742117,4,124,172
5/23/2013,26,83833099.24,52952,1384780000,0,4150,50.66091818,4,127,172
5/24/2013,27,80767726.31,55582,1413300000,0,4075,53.95741269,4,133,172
5/25/2013,28,89482238.02,56521,1489950000,0,4125,43.30824227,4,132,172
5/26/2013,29,98224137.87,54128,1478030000,0,4225,55.02510239,4,133,172
5/27/2013,30,46800917.73,40435,1495520000,0,4100,31.46608906,4,130,172
5/28/2013,31,61233958.78,52244,1454310000,0,4500,47.29502624,4,129,172
5/29/2013,32,90406808.12,55119,1446190000,0,3850,54.58621312,4,132,172
